City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,87.76,81,83,8.01,EC,1680117030
1,qandala,11.472,49.8728,83.57,74,10,5.68,SO,1680117030
2,palmer,42.1584,-72.3287,55.51,31,75,9.22,US,1680117030
3,victoria,22.2855,114.1577,71.2,91,100,8.99,HK,1680116777
4,nadym,65.5333,72.5167,5.07,93,96,18.92,RU,1680117030
5,guerrero negro,27.9769,-114.0611,64.94,46,0,15.9,MX,1680117031
6,ponta do sol,32.6667,-17.1,77.72,52,20,2.73,PT,1680117031
7,bredasdorp,-34.5322,20.0403,58.96,70,39,5.59,ZA,1680117031
8,atasu,48.6814,71.6433,38.5,71,2,7.9,KZ,1680117031
9,kruisfontein,-34.0033,24.7314,57.33,76,59,14.16,ZA,1680117031
10,omaha,41.2586,-95.9378,42.53,45,75,12.66,US,1680117031
11,narsaq,60.9167,-46.05,37.62,68,13,0.67,GL,1680117031
12,vaini,-21.2,-175.2,73.56,94,40,2.3,TO,1680117031
13,namatanai,-3.6667,152.4333,78.39,83,97,3.6,PG,1680117031
14,brandfort,-28.7001,26.4597,63.19,34,5,6.93,ZA,1680117032
15,broome,42.2506,-75.833,53.53,38,40,13.0,US,1680117032
16,rikitea,-23.1203,-134.9692,79.39,77,59,6.62,PF,1680117032
17,hambantota,6.1241,81.1185,79.48,73,51,5.64,LK,1680117032
18,bathsheba,13.2167,-59.5167,84.81,54,20,19.57,BB,1680117032
19,ewa beach,21.3156,-158.0072,80.55,79,20,17.27,US,1680117032
20,port alfred,-33.5906,26.891,61.18,69,100,5.99,ZA,1680117032
21,ushuaia,-54.8,-68.3,40.66,56,40,17.27,AR,1680116808
22,saldanha,-33.0117,17.9442,61.36,77,100,20.74,ZA,1680117033
23,punta arenas,-53.15,-70.9167,44.62,56,40,5.75,CL,1680117033
24,busselton,-33.65,115.3333,60.24,69,88,14.09,AU,1680117033
25,pontianak,-0.0333,109.3333,75.18,100,100,2.3,ID,1680117033
26,chuy,-33.6971,-53.4616,83.64,47,28,7.65,UY,1680117033
27,pevek,69.7008,170.3133,-0.18,98,100,4.88,RU,1680117033
28,izhma,65.0083,53.9113,5.59,99,77,4.07,RU,1680117034
29,sarangani,5.4033,125.4636,80.85,75,97,5.97,PH,1680117034
30,turbat,26.0023,63.044,75.13,50,91,7.81,PK,1680117034
31,bjornevatn,69.6672,29.9847,28.02,86,100,14.97,NO,1680117034
32,nalut,30.3333,10.85,67.53,29,4,11.12,LY,1680117034
33,dikson,73.5069,80.5464,-3.8,99,100,5.3,RU,1680117034
34,longyearbyen,78.2186,15.6401,8.44,78,40,2.3,SJ,1680117035
35,la palma,33.8464,-118.0467,59.5,86,100,11.5,US,1680117035
36,harper,4.375,-7.7169,80.82,83,11,8.9,LR,1680117035
37,esperance,-33.8667,121.9,59.76,84,100,9.69,AU,1680117036
38,klaksvik,62.2266,-6.589,40.12,97,100,40.51,FO,1680117036
39,pringsewu,-5.3582,104.9744,72.9,97,90,1.32,ID,1680117036
40,taoudenni,22.6783,-3.9836,92.43,7,2,13.94,ML,1680117036
41,upernavik,72.7868,-56.1549,-11.47,84,32,7.61,GL,1680116907
42,cherskiy,68.75,161.3,-23.22,100,97,2.17,RU,1680117037
43,abeokuta,7.15,3.35,85.33,64,45,9.33,NG,1680116871
44,kapaa,22.0752,-159.319,72.19,93,94,13.65,US,1680117037
45,hilo,19.7297,-155.09,78.28,90,100,5.75,US,1680116748
46,camacha,33.0833,-16.3333,67.42,64,0,12.66,PT,1680117037
47,mataura,-46.1927,168.8643,41.49,84,10,3.78,NZ,1680117037
48,kodiak,57.79,-152.4072,36.91,81,100,6.91,US,1680116998
49,ilulissat,69.2167,-51.1,12.22,48,0,3.44,GL,1680117037
50,chimbote,-9.0853,-78.5783,82.85,65,76,10.63,PE,1680117038
51,cabo san lucas,22.8909,-109.9124,82.62,47,40,4.61,MX,1680116835
52,tasiilaq,65.6145,-37.6368,21.36,73,8,0.22,GL,1680117038
53,albany,42.6001,-73.9662,56.03,33,96,5.01,US,1680117038
54,sao domingos do maranhao,-5.5758,-44.3853,79.45,90,100,3.33,BR,1680117038
55,hobart,-42.8794,147.3294,55.26,76,100,17.27,AU,1680116877
56,sao desiderio,-12.3633,-44.9733,81.99,53,92,5.55,BR,1680117039
